NUMERO_INCIDENTE;CODIGO_CRIME;CODIGO_GRUPO_CRIME;DESCRICAO_CRIME;DISTRITO;AREA_REPORTADA;TEVE_TIRO;DATA_OCORRENCIA;ANO;MES;DIA_DA_SEMANA;HORA;ALTO_RISCO;LATITUDE;LONGITUDE
I182070933;724;Auto Theft;AUTO THEFT;B2;330;0;03/09/2018 21:25;2018;9;Monday;21;0;42.30607218;-71.0827326
I182070932;3301;Verbal Disputes;VERBAL DISPUTE;B2;584;0;03/09/2018 20:39;2018;9;Monday;20;0;42.32701648;-71.10555088
I182070917;2647;Other;THREATS TO DO BODILY HARM;B2;901;0;03/09/2018 19:52;2018;9;Monday;19;0;42.33371742;-71.09665806
I182070915;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;181;0;02/09/2018 18:00;2018;9;Sunday;18;0;42.3256949;-71.06816778
I182070908;522;Residential Burglary;BURGLARY - RESIDENTIAL - NO FORCE;B2;911;0;03/09/2018 18:38;2018;9;Monday;18;0;42.33506218;-71.09316781
I182070897;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;330;0;03/09/2018 18:37;2018;9;Monday;18;1;42.30524752;-71.08089418
I182070892;613;Larceny;LARCENY SHOPLIFTING;B2;276;0;03/09/2018 17:54;2018;9;Monday;17;0;42.33318299;-71.08307607
I182070882;3801;Motor Vehicle Accident Response;M/V ACCIDENT - OTHER;B2;901;0;03/09/2018 15:00;2018;9;Monday;15;0;42.33511145;-71.09592156
I182070873;3625;Other;DANGEROUS OR HAZARDOUS CONDITION;B2;327;0;03/09/2018 15:38;2018;9;Monday;15;0;42.31368925;-71.0742708
I182070873;3106;Property Related Damage;PROPERTY - ACCIDENTAL DAMAGE;B2;327;0;03/09/2018 15:38;2018;9;Monday;15;0;42.31368925;-71.0742708
I182070871;3501;Missing Person Reported;MISSING PERSON;B2;265;0;03/09/2018 17:03;2018;9;Monday;17;0;42.3218854;-71.07906279
I182070862;3801;Motor Vehicle Accident Response;M/V ACCIDENT - OTHER;B2;603;0;03/09/2018 15:29;2018;9;Monday;15;0;42.33380683;-71.10377843
I182070859;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;305;0;03/09/2018 15:46;2018;9;Monday;15;0;42.3206268;-71.09108856
I182070855;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;288;0;03/09/2018 15:14;2018;9;Monday;15;0;42.3296087;-71.08462109
I182070830;2647;Other;THREATS TO DO BODILY HARM;B2;294;0;03/09/2018 13:25;2018;9;Monday;13;0;42.32579408;-71.08563758
I182070829;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;325;0;03/09/2018 13:45;2018;9;Monday;13;0;42.31580934;-71.07618683
I182070829;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN ETC. ;B2;325;0;03/09/2018 13:45;2018;9;Monday;13;0;42.31580934;-71.07618683
I182070824;3114;Investigate Property;INVESTIGATE PROPERTY;B2;237;0;03/09/2018 13:31;2018;9;Monday;13;0;42.31993148;-71.06368978
I182070823;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;330;0;03/09/2018 14:00;2018;9;Monday;14;0;42.3078214;-71.08354076
I182070809;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;605;0;03/09/2018 12:37;2018;9;Monday;12;0;42.33061023;-71.10853621
I182070808;3205;License Plate Related Incidents;M/V PLATES - LOST;B2;297;0;03/09/2018 09:40;2018;9;Monday;9;0;42.32171349;-71.08260822
I182070801;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;326;0;02/09/2018 19:30;2018;9;Sunday;19;0;42.31161123;-71.076256
I182070800;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;325;0;03/09/2018 11:14;2018;9;Monday;11;0;42.31620533;-71.07609249
